GKZ,Name,Wahlberechtigte,abgegeben,gültig,ungültig,spoe,oevp,fpoe,gruene,kpoe,bzoe,cpoe,puma
G61714,Gschaid bei Birkfeld,766,560,551,9,127,283,86,15,20,13,7,0
G61715,Gutenberg an der Raabklamm,1029,734,717,17,291,294,47,43,25,14,3,0
G61716,Markt Hartmannsdorf,2338,1547,1504,43,352,751,195,104,46,37,19,0
G61717,Haslau bei Birkfeld,376,301,297,4,122,112,47,5,6,3,2,0
G61718,Hirnsdorf,584,418,411,7,155,171,53,12,6,8,6,0
G61719,Hofstätten an der Raab,1625,1048,1034,14,299,447,131,72,43,36,6,0
G61720,Hohenau an der Raab,1062,786,774,12,224,443,61,14,7,20,5,0
G61721,Ilztal,1448,1070,1048,22,285,559,100,50,36,14,4,0
G61722,Koglhof,923,661,646,15,157,416,49,8,7,9,0,0
G61723,Krottendorf,1910,1339,1317,22,559,469,131,62,52,29,15,0
G61724,Kulm bei Weiz,401,293,290,3,86,148,20,14,11,8,3,0
G61725,Labuch,650,444,437,7,143,188,58,18,13,11,6,0
G61726,Laßnitzthal,887,590,582,8,284,168,61,17,27,24,1,0
G61727,Ludersdorf-Wilfersdorf,1578,963,953,10,305,356,113,84,44,40,11,0
G61728,Miesenbach bei Birkfeld,605,500,495,5,155,274,35,8,11,11,1,0
G61729,Mitterdorf an der Raab,1659,1160,1137,23,431,476,106,38,39,36,11,0
G61730,Mortantsch,1644,1212,1188,24,458,493,89,70,32,36,10,0
G61731,Naas,1142,875,866,9,267,453,96,17,12,18,3,0
G61732,Naintsch,541,432,423,9,111,265,15,2,9,19,2,0
G61733,Neudorf bei Passail,420,335,332,3,99,133,90,2,2,4,2,0
G61734,Nitscha,1186,829,819,10,232,401,83,51,30,13,9,0
G61735,Oberrettenbach,382,310,305,5,71,177,32,11,2,6,6,0
G61736,Passail,1634,1195,1178,17,348,615,119,40,18,29,9,0
G61737,Pischelsdorf in der Steiermark,2067,1374,1353,21,417,576,167,91,57,31,14,0
G61739,Preßguts,315,214,212,2,70,95,30,3,10,1,3,0
G61740,Puch bei Weiz,1754,1168,1152,16,349,544,126,60,30,37,6,0
G61741,Ratten,987,723,715,8,343,318,28,8,10,5,3,0
